pond_code,Connectance,Modularity,Nestedness,island,times,isolation,area,residence_time,bullfrog_abundance,native_abundance,water_area,vegetation_coverage,human_activity,crayfish_abundance,invasion
ZJJ_site157,-8.247371608,16.26962983,-1.507212262,ZJJ,2023/6/18,18.43604553,65.25140868,36,1,25,0.012838585,0.4,7.83922533,0,Y
ZJJ_site163,-13.35327513,17.50956277,-0.665714814,ZJJ,2023/6/18,18.43604553,65.25140868,0,0,29.5,0.039434006,0.1,7.83922533,0,N
ZJJ_site159,-5.49648059,17.42513108,-1.167457899,ZJJ,2024/6/23,18.43604553,65.25140868,36,5,1,0.003312497,0.55,7.83922533,1,Y
CZ_site005,-8.899891828,16.62973968,-0.281860267,CZ,2023/6/17,16.0049841,15.4,0,0,5,0.008919155,0.8,2.183181226,0,N
DS_site018,-9.728009885,14.46898175,-5.58085952,DS,2023/6/21,35.56637415,116.2004095,30,1,12.5,0.030011971,0.6,11.4647802,0.5,Y
FD_site047,-17.37434569,32.11786542,-11.72155267,FD,2023/6/1,7.058597696,7.467739107,27,1,4,0.010469677,0.4,0.90616622,0,Y
FD_site049,-16.84611366,26.49555366,-2.436713511,FD,2023/6/2,7.058597696,7.467739107,0,0,5,0.009837713,0.5,0.90616622,0,N
FD_site053,-16.21298361,23.94175004,-4.777294362,FD,2023/6/1,7.058597696,7.467739107,27,1,8,0.011188077,0.6,0.90616622,0,Y
LH_site068,-7.75385871,8.845589056,-3.599451106,LH,2023/6/5,6.739671409,103.4493029,30,2,11,0.041044807,0.05,4.233006885,0,Y
LH_site073,-10.13646488,14.2735894,-2.019062419,LH,2023/5/31,6.739671409,103.4493029,30,0.5,3.5,0.228803718,0.8,4.233006885,0.5,Y
LH_site076,-7.05372564,14.49191431,-2.825661223,LH,2023/6/5,6.739671409,103.4493029,30,3.5,1,0.033888461,0.8,4.233006885,1.5,Y
LH_site067,-17.71119934,30.1530391,-7.810384285,LH,2023/5/30,6.739671409,103.4493029,30,0.5,3.5,0.012605654,0.4,4.233006885,10,Y
LH_site074,-12.58874962,23.1484773,-5.673046925,LH,2023/5/30,6.739671409,103.4493029,30,0.333333333,7,0.00285752,0.3,4.233006885,5.333333333,Y
MY_site080,-29.41674063,15.24725069,1.179584539,MY,2023/6/14,10.27249022,2.920410648,0,0,8.5,0.006942568,0.7,5.860627178,0,N
QS_site102,-11.26187002,15.86157289,0.440897577,QS,2023/6/26,53.63736491,65.78581511,0,0,14,0.009149373,0.4,6.190920208,1,N
QS_site099,-8.845729798,15.52967496,-2.340336477,QS,2023/6/26,53.63736491,65.78581511,0,0,21.5,0.013274364,0.3,6.190920208,1,N
QS_site100,-8.692503034,14.15164276,-0.344607031,QS,2023/6/26,53.63736491,65.78581511,25,1,30,0.0033801,0.6,6.190920208,0,Y
TH_site111,-16.57398058,29.8011086,-5.307150566,TH,2023/5/26,9.187233191,41.60965655,0,0,3,0.00372423,0.5,2.431467181,0,N
TH_site108,-7.855732559,11.80721204,-5.296844757,TH,2023/5/25,9.187233191,41.60965655,30,1,6,0.037181034,0.7,2.431467181,0,Y
